time,q1,q2,dq1,dq2,tau1,tau2
16.008,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.018,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
16.028,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.038,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
16.048,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.058,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
16.068,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.078,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
16.088,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
16.098,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.108,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.118,-0.03207,0.171364,0.007326,-0.007326,0.0,1.718134
16.128,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.138,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
16.148,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.158,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.168,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.178,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
16.188,-0.03207,0.171364,-0.007326,-0.007326,0.0,1.718134
16.198,-0.03207,0.171364,-0.007326,-0.007326,0.0,1.718134
16.208,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.218,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.228,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.238,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.248,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.258,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
16.268,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.278,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.288,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
16.298,-0.032262,0.171364,-0.007326,-0.007326,0.0,1.718134
16.308,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
16.318,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.328,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.338,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
16.348,-0.03207,0.171364,0.007326,-0.007326,0.0,1.718134
16.358,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.368,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
16.378,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
16.388,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.398,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
16.408,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.418,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.428,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.438,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
16.448,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.458,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.468,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
16.478,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
16.488,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
16.498,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
18.008,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.018,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.028,-0.032933,0.276636,-0.007326,-0.007326,0.0,1.401851
18.038,-0.032933,0.276636,-0.007326,-0.007326,0.0,1.401851
18.048,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.058,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.068,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.078,-0.032933,0.276636,0.007326,-0.007326,0.0,1.401851
18.088,-0.032933,0.276636,-0.007326,-0.007326,0.0,1.401851
18.098,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.108,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.118,-0.032933,0.276636,-0.007326,-0.007326,0.0,1.401851
18.128,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.138,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.148,-0.033029,0.276636,0.007326,-0.007326,0.0,1.401851
18.158,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.168,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.178,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.188,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.198,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.208,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.218,-0.032933,0.276636,-0.007326,-0.007326,0.0,1.401851
18.228,-0.033125,0.276636,-0.021978,-0.007326,0.0,1.401851
18.238,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.248,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.258,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.268,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.278,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.288,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.298,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.308,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.318,-0.033029,0.276636,0.007326,-0.007326,0.0,1.401851
18.328,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.338,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.348,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.358,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.368,-0.033029,0.276636,0.007326,-0.007326,0.0,1.401851
18.378,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.388,-0.032933,0.276636,-0.007326,-0.007326,0.0,1.401851
18.398,-0.032933,0.276636,-0.007326,-0.007326,0.0,1.401851
18.408,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.418,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.428,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.438,-0.032933,0.276636,0.007326,-0.007326,0.0,1.401851
18.448,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.458,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.468,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.478,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.488,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.498,-0.032933,0.276636,0.007326,-0.007326,0.0,1.401851
18.508,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.518,-0.032933,0.276636,0.007326,-0.007326,0.0,1.401851
18.528,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.538,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.548,-0.033029,0.276636,0.007326,-0.007326,0.0,1.401851
18.558,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.567,-0.032933,0.276636,0.007326,-0.007326,0.0,1.401851
18.578,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.588,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.598,-0.033029,0.276636,0.007326,-0.007326,0.0,1.401851
18.608,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.618,-0.032933,0.276636,-0.007326,-0.007326,0.0,1.401851
18.627,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.637,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.647,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.658,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.668,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.677,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.687,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.697,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.707,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.717,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.727,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.737,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.747,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.757,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.767,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.777,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.787,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.797,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.807,-0.033029,0.276636,0.007326,-0.007326,0.0,1.401851
18.817,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.827,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.837,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.847,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.857,-0.032933,0.276636,0.007326,-0.007326,0.0,1.401851
18.867,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.877,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.887,-0.033029,0.276636,0.007326,-0.007326,0.0,1.401851
18.897,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.907,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.917,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.927,-0.033029,0.276636,0.007326,-0.007326,0.0,1.401851
18.937,-0.033029,0.276636,0.007326,-0.007326,0.0,1.401851
18.947,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.957,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
18.967,-0.033029,0.276636,0.007326,-0.007326,0.0,1.401851
18.977,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.987,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
18.997,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
19.007,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
19.017,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
19.027,-0.033029,0.276636,-0.021978,-0.007326,0.0,1.401851
19.037,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
19.047,-0.032933,0.276636,0.007326,-0.007326,0.0,1.401851
19.057,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
19.067,-0.033029,0.276636,-0.007326,-0.007326,0.0,1.401851
